feature,Neutral mass (Da),mz,Charge,rt,Chromatographic peak width (min),Identifications,Max Fold Change,Highest Mean,Lowest Mean,Isotope Distribution,Maximum Abundance,Minimum CV%
15.97_299.1393m/z,,299.139278983096,1,958.117999999998,0.131483333333334,0,Infinity,4,Z,100,328.281981663724,19.13
16.01_656.2269m/z,,656.226857625135,1,960.862999999998,0.0685833333333328,0,Infinity,SCQC,Z,100 - 31.1 - 6.06,756.150174276444,16.42
15.06_521.4201m/z,,521.420084221285,1,903.583999999998,0.154350000000001,0,Infinity,3,Z,100 - 10.4,943.126884971917,5.47
15.06_584.4901m/z,,584.490059907129,1,903.583999999998,0.1372,0,Infinity,3,Z,100 - 17.4,1019.40775085959,5.71
15.30_564.4617m/z,,564.461728753757,1,917.9890000000021,0.0857500000000009,0,Infinity,3,Z,100,355.633376919531,10.32
14.45_760.5035m/z,,760.503502666499,1,866.884000000002,0.0685833333333346,0,Infinity,QC,Z,100,243.150358381794,21.53
15.06_469.3895m/z,,469.389516093971,1,903.583999999998,0.165783333333332,0,Infinity,3,Z,100 - 13.3,949.790200033634,7.70
15.06_514.4475m/z,,514.447526107169,1,903.583999999998,0.165783333333332,0,Infinity,3,Z,100 - 13.5,991.426498555006,5.50
15.66_586.5050m/z,,586.504964384977,1,939.597,0.188650000000001,0,Infinity,3,Z,100 - 1.16,482.420785024332,11.55
15.76_568.4306m/z,,568.43064012789,1,945.771,0.154350000000001,0,Infinity,1,SV,100 - 32.1,940.024694476695,8.50
15.88_770.6688m/z,,770.66880011559,1,952.9739999999999,0.251533333333333,0,Infinity,3,Z,100 - 15.3,720.523080046948,16.56
15.33_478.4105m/z,,478.410508040157,1,920.0470000000021,0.188650000000001,0,Infinity,QC,Z,100 - 11.4,903.545651976878,12.63
15.42_514.4473m/z,,514.447285426185,1,925.1920000000019,0.291533333333334,0,Infinity,3,Z,100 - 16.8,2212.23251955013,5.44
15.44_586.5047m/z,,586.504747882813,1,926.221000000002,0.188633333333334,0,Infinity,3,Z,100 - 29.2,1422.53344164577,5.16
17.71_653.4416m/z,,653.441630247696,1,1062.3859999999981,0.1372,0,Infinity,QC,Z,100 - 33.7,1430.30098751128,4.48
17.71_698.4992m/z,,698.499248685437,1,1062.3859999999981,0.0857499999999973,0,Infinity,QC,Z,100 - 24.3,460.395538463934,9.80
17.93_366.3732m/z,,366.373217405951,1,1075.762000000002,0.268683333333332,0,Infinity,3,Z,100 - 8.83,662.592668063237,8.80
17.00_642.5655m/z,,642.565470966475,1,1020.1990000000019,0.405883333333332,0,Infinity,3,Z,100 - 5.88,1665.14247667485,17.22
17.31_670.4676m/z,,670.467610764072,1,1038.72,0.102900000000002,0,Infinity,QC,Z,100 - 33.1,1036.81204778878,8.64
17.31_625.4094m/z,,625.409385238249,1,1038.72,0.0857500000000009,0,Infinity,QC,Z,100 - 17.5,442.793838651761,10.96
18.52_429.3731m/z,,429.373067137774,1,1111.434,0.577366666666666,0,Infinity,1,Z,100 - 27.8 - 2,7611.71034116861,8.89
18.64_681.4733m/z,,681.473342377355,1,1118.6359999999981,0.120049999999999,0,Infinity,QC,SV,100 - 30.3,825.547821045035,6.79
18.64_726.5307m/z,,726.530681758702,1,1118.6359999999981,0.0857500000000009,0,Infinity,QC,Z,100 - 24,453.894210758475,20.42
17.95_445.3673m/z,,445.367287602025,1,1076.7919999999979,0.182933333333331,0,Infinity,1,Z,100 - 1.83,569.646845764523,2.24
18.18_429.3732m/z,,429.373180920959,1,1090.855000000002,0.274383333333336,0,Infinity,1,Z,100 - 20.1,2017.66977150953,6.03
18.18_653.4420m/z,,653.442049912112,1,1090.855000000002,0.120033333333335,0,Infinity,QC,Z,100 - 32.5,1026.34607937777,7.74
16.46_764.5788n,764.578779210022,803.542079941978,1,987.6149999999999,0.274383333333333,0,Infinity,3,Z,100 - 51.9 - 12 - 0.821,16132.1947607796,16.26
16.46_464.3726m/z,,464.372631992423,1,987.6149999999999,0.394433333333335,0,Infinity,3,SV,100 - 20.7,3769.34822252167,4.83
16.46_798.5861m/z,,798.586062204325,1,987.6149999999999,0.1372,0,Infinity,3,Z,100 - 35.7,1113.96917531537,15.67
16.37_640.5511m/z,,640.5510750346,1,982.47,1.13758333333333,0,Infinity,3,Z,100 - 28.3 - 0.753,9916.24148066379,6.58
16.46_436.3420m/z,,436.341971893022,1,987.6149999999999,0.480183333333333,0,Infinity,3,Z,100 - 28.4 - 4.38 - 0.146,85731.7474729954,6.30
16.46_390.2766n,390.276575421887,391.283851853887,1,987.6149999999999,0.497333333333334,0,Infinity,3,Z,100 - 24.1 - 3.18,24424.7309326318,9.51
16.80_374.3627m/z,,374.36273817561,1,1008.1939999999979,0.308683333333331,0,Infinity,QC,Z,100,621.504023856037,5.60
16.96_730.2437m/z,,730.243692485411,1,1017.454999999998,0.0628833333333318,0,Infinity,SCQC,Z,100 - 50.9,497.137949830324,16.21
16.97_102.1282m/z,,102.128178882163,1,1018.4839999999981,0.903200000000002,0,Infinity,SV,Z,100,1178.79031906578,22.84
16.58_542.4782m/z,,542.478206567701,1,994.8180000000001,0.205783333333333,0,Infinity,1,Z,100 - 18.8,1499.89379275418,8.71
16.77_330.3365m/z,,330.336478895406,1,1006.135999999998,0.748850000000001,0,Infinity,QC,SV,100 - 21.2 - 1.41,23863.009057422,3.41
16.77_383.3996m/z,,383.399599106642,1,1006.135999999998,0.102899999999998,0,Infinity,3,Z,100 - 18.5,545.652639704315,8.43
14.45_235.1328m/z,,235.13275050788,1,866.884000000002,0.137183333333335,0,Infinity,SCQC,Z,100,347.143380326584,5.30
12.14_510.3563m/z,,510.356256033633,1,728.661,0.222933333333334,0,Infinity,3,Z,100 - 24 - 1.28,4114.21447281604,4.98
